date,health
20090901,3972.00
20091001,8439.00
20091101,9337.00
20091201,5431.00
20100101,4129.00
20100201,7632.00
20100301,10208.00
20100401,14336.00
20100501,7297.00
20100601,10624.00
20100701,37908.00
20100801,25580.00
20100901,30021.00
20101001,24850.00
20101101,30915.00
20101201,28286.00
20110101,48220.00
20110201,66994.00
20110301,54862.00
20110401,62705.00
20110501,59762.00
20110601,55543.00
20110701,56762.00
20110801,73897.00
20110901,59268.00
20111001,45369.00
20111101,58995.00
20111201,46893.00
20120101,61712.00
20120201,289843.00
20120301,238587.00
20120401,87907.00
20120501,78144.00
20120601,75780.00
20120701,120345.00
20120801,302149.00
20120901,158948.00
20121001,250758.00
20121101,160845.00
20121201,96995.00
20130101,206774.00
20130201,164500.00
20130301,185139.00
20130401,176556.00
20130501,179306.00
20130601,183191.00
20130701,188529.00
20130801,146959.00
20130901,151316.00
20131001,181161.00
20131101,174900.00
20131201,146080.00
20140101,198872.00
